wb-id,user-id,user-name,user-rank,clean_content,full_content,forward,comment,like,created at,relative time
4473253907463480,1663072851,中国日报,48,【】为控制疫情，如今武汉采取了严格的管控措施，包括每户家庭每三天派1人外出采购等。很多人被“隔离”在家中，但生活还要继续。三天一次的采购如何进行？对于生活在武汉的雷靖来说，最开心的是在超市收获“续命宝藏”手撕蟹味棒，而楼道里消毒水的味道也比任何香水都更让他安心。@央视新闻 ,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>】为控制疫情，如今武汉采取了严格的管控措施，包括每户家庭每三天派1人外出采购等。很多人被“隔离”在家中，但生活还要继续。三天一次的采购如何进行？对于生活在武汉的雷靖来说，最开心的是在超市收获“续命宝藏”手撕蟹味棒，而楼道里消毒水的味道也比任何香水都更让他安心。<a href='/n/央视新闻'>@央视新闻</a> <a data-url=""http://t.cn/A6hSskUN"" href=""https://video.weibo.com/show?fid=1034:4473217419771906"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">央视新闻的微博视频</span></a>",158,687,8128,1582111674.937619,昨天 09:45
4473287092632558,6637704216,苟活就是胜利,9,窥一管而知全豹斑，看看这个老爹爹就知道武汉人现在的处境。  ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>窥一管而知全豹斑，看看这个老爹爹就知道武汉人现在的处境。 <a data-url=""http://t.cn/A6ho3Nq7"" href=""https://video.weibo.com/show?fid=1034:4473286986235927"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">苟活就是胜利的微博视频</span></a> ",7380,674,11633,1582111679.27425,昨天 11:56
4473759358704801,5833919717,悟空夫人-,9,/**/我生活在东北， 我们城市确诊了4例患者，我们的公共交通汽车已经停了好久了。家里附近的大型农贸市场，每天上午营业3个小时。一般一星期会去一次，每次去觉得人也不是很多，每人都自觉的带上口罩，大家也都是匆匆买完，赶紧回家，我们一般都是买肉或者海鲜才去大型的农贸市场。 一般青菜和水果都会去 小的水果蔬菜超市。 这样的地方全天营业，人也比较多，买菜的大部分还是中老年人居多。 超市基本上就没什么人， 我们小区现在只开放一个门，也是正门，每户都配有通行证，每两天可出去一人，进出都要测体温。 其实生活还可以，至少买东西还是方便的。,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E6%97%A5%E8%AE%B0%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#武汉日记#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a><br />我生活在东北， 我们城市确诊了4例患者，我们的公共交通汽车已经停了好久了。家里附近的大型农贸市场，每天上午营业3个小时。一般一星期会去一次，每次去觉得人也不是很多，每人都自觉的带上口罩，大家也都是匆匆买完，赶紧回家，我们一般都是买肉或者海鲜才去大型的农贸市场。 一般青菜和水果都会去 小的水果蔬菜超市。 这样的地方全天营业，人也比较多，买菜的大部分还是中老年人居多。 超市基本上就没什么人， 我们小区现在只开放一个门，也是正门，每户都配有通行证，每两天可出去一人，进出都要测体温。 其实生活还可以，至少买东西还是方便的。<a data-url=""http://t.cn/A6ho4d67"" href=""https://weibo.com/p/2313474473242382369049?"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2016/11/23/433/wenda_icon_default.png'></span><span class=""surl-text"">你们那的购物还方便吗?几天可以出一次门？</span></a>",0,0,0,1582111682.762388,14分钟前
4473757747414438,6528917283,猫小酌要招财进宝,9,真的好难，物价高到离谱，一根黄瓜十块钱。每天都在各种群里找资源。别说企业撑不下去，普通人都难活下去了。/**//**/看到什么新上任的官员视察菜篮子不解决问题的视察有什么意义。/**//**/全国都在给武汉捐赠蔬菜，为什么物价还翻了这么多倍呢/**/ ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>真的好难，物价高到离谱，一根黄瓜十块钱。每天都在各种群里找资源。别说企业撑不下去，普通人都难活下去了。<br /><br />看到什么新上任的官员视察菜篮子<span class=""url-icon""><img alt=[吐] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tu-b5c18d9140.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吐] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tu-b5c18d9140.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吐] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tu-b5c18d9140.png"" style=""width:1em; height:1em;"" /></span>不解决问题的视察有什么意义。<br /><br />全国都在给武汉捐赠蔬菜，为什么物价还翻了这么多倍呢<br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E7%89%A9%E4%BB%B7%23&extparam=%23%E6%AD%A6%E6%B1%89%E7%89%A9%E4%BB%B7%23"" data-hide=""""><span class=""surl-text"">#武汉物价#</span></a> ",1,0,0,1582111689.058205,20分钟前
4473757738998239,2049899712,懒格格,23,不方便，社区推上面，怕担责任我们自己组织又出不去进不来  ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E6%97%A5%E8%AE%B0%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#武汉日记#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>不方便，社区推上面，怕担责任我们自己组织又出不去进不来 <a data-url=""http://t.cn/A6ho4d67"" href=""https://weibo.com/p/2313474473242382369049?"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2016/11/23/433/wenda_icon_default.png'></span><span class=""surl-text"">你们那的购物还方便吗?几天可以出一次门？</span></a> ",0,0,1,1582111691.97726,20分钟前
4473757408333064,5646662278,LIU_哞哞,14,知道被小区物业 小区书记赶回来是什么感觉吗？我办了通行证现在无限。我出去买菜，怼我商超不对个人。我说我去水果店买水果，怼我你不是买菜吗？真特码我冒着风险出去买菜我就买一根白菜，是我特妈的有毛病吧！嗯 一定是我有毛病 ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>知道被小区物业 小区书记赶回来是什么感觉吗？我办了通行证现在无限。我出去买菜，怼我商超不对个人。我说我去水果店买水果，怼我你不是买菜吗？真特码我冒着风险出去买菜我就买一根白菜，是我特妈的有毛病吧！嗯 一定是我有毛病<span class=""url-icon""><img alt=[微笑] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-039d0a6a8a.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span> ",0,0,0,1582111694.419205,22分钟前
4473696142465615,2727849821,被动语态,29,不会网购的独居老人怎么办?不要拿明星社区的配套服务以偏概全发通稿，那些老社区的老人吃药吃饭问题怎么解决?  ,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>不会网购的独居老人怎么办?不要拿明星社区的配套服务以偏概全发通稿，那些老社区的老人吃药吃饭问题怎么解决? <a data-url=""http://t.cn/R2WxQOQ"" href=""http://weibo.com/p/1001018008642010000000000"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉</span></a> ",1,1,24,1582111698.888881,4小时前
4473745030502960,1202150843,奇葩图鉴,43,大家看看现在微博话题 求助的人很多很多 ,"大家看看现在微博话题<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a> 求助的人很多很多 ",8,15,28,1582111703.302162,1小时前
4473755508467049,5639075671,pangdai9ou,14,/**/社区封了 大型商超不对个人开放/**/说是生活物资社区统一配送 问社区那边 让自己在社区内买 /**/只有素菜可以买 根本买不到荤菜 家里十多天前囤的菜要吃光了/**/楼底下卖菜的 买菜的 聊天的 要么不戴口罩 要么口罩不符合规范 如此危险的人员流动 /**/市长热线反映了 不知道有没有结果,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B0%81%E5%9F%8E%E6%97%A5%E8%AE%B0%23&extparam=%23%E5%B0%81%E5%9F%8E%E6%97%A5%E8%AE%B0%23"" data-hide=""""><span class=""surl-text"">#封城日记#</span></a><br />社区封了 大型商超不对个人开放<br />说是生活物资社区统一配送 问社区那边 让自己在社区内买 <br />只有素菜可以买 根本买不到荤菜 家里十多天前囤的菜要吃光了<br />楼底下卖菜的 买菜的 聊天的 要么不戴口罩 要么口罩不符合规范 如此危险的人员流动 <br />市长热线反映了 不知道有没有结果",0,3,1,1582111705.579965,29分钟前
4473253907463480,1663072851,中国日报,48,【】为控制疫情，如今武汉采取了严格的管控措施，包括每户家庭每三天派1人外出采购等。很多人被“隔离”在家中，但生活还要继续。三天一次的采购如何进行？对于生活在武汉的雷靖来说，最开心的是在超市收获“续命宝藏”手撕蟹味棒，而楼道里消毒水的味道也比任何香水都更让他安心。@央视新闻 ,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23&extparam=%23%E6%AD%A6%E6%B1%89%E5%B8%82%E6%B0%91%E7%8E%B0%E5%9C%A8%E5%A6%82%E4%BD%95%E8%B4%AD%E7%89%A9%23"" data-hide=""""><span class=""surl-text"">#武汉市民现在如何购物#</span></a>】为控制疫情，如今武汉采取了严格的管控措施，包括每户家庭每三天派1人外出采购等。很多人被“隔离”在家中，但生活还要继续。三天一次的采购如何进行？对于生活在武汉的雷靖来说，最开心的是在超市收获“续命宝藏”手撕蟹味棒，而楼道里消毒水的味道也比任何香水都更让他安心。<a href='/n/央视新闻'>@央视新闻</a> <a data-url=""http://t.cn/A6hSskUN"" href=""https://video.weibo.com/show?fid=1034:4473217419771906"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">央视新闻的微博视频</span></a>",158,687,8129,1582111708.443383,昨天 09:45
